Rank Tier,Standard,Doubles,Solo Duel,Solo Standard
Bronze 1,1.51,5.50,2.25,2.26
Bronze 2,2.03,5.39,3.75,3.16
Bronze 3,3.62,7.43,6.44,4.34
Silver 1,5.74,9.15,9.87,6.18
Silver 2,7.93,9.81,12.05,7.78
Silver 3,9.36,9.47,12.56,9.23
Gold 1,10.33,8.95,12.37,10.51
Gold 2,9.97,7.79,10.44,10.48
Gold 3,11.66,8.62,8.34,9.69
Platinum 1,10.30,7.38,6.76,9.07
Platinum 2,7.93,5.61,6.24,9.38
Platinum 3,5.76,4.21,3.88,6.71
Diamond 1,4.64,3.42,2.36,4.74
Diamond 2,3.28,2.46,1.33,2.90
Diamond 3,3.08,2.29,0.74,1.76
Champion 1,1.79,1.48,0.44,1.20
Champion 2,0.67,0.60,0.11,0.41
Champion 3,0.26,0.26,0.04,0.15
Grand Champion,0.14,0.16,0.03,0.05
